date,actual,counterfactual,effect
2011-07-25,23624.772,20005.16,3619.612000000001
2011-07-26,20751.6012,37190.52,-16438.918799999996
2011-07-27,27426.384,29587.42,-2161.036
2011-07-28,65038.044,25688.61,39349.434
2011-07-29,20688.732,27302.75,-6614.018
2011-07-30,0.0,0.0,0.0
2011-07-31,40071.948,9224.4,30847.547999999995
2011-08-01,23770.08,20005.16,3764.920000000002
2011-08-02,24332.46,37190.52,-12858.059999999998
2011-08-03,31941.324,29587.42,2353.9040000000023
2011-08-04,74495.53199999999,25688.61,48806.92199999999
2011-08-05,23790.48,27302.75,-3512.2700000000004
2011-08-06,0.0,0.0,0.0
2011-08-07,9092.352,9224.4,-132.04799999999886
2011-08-08,23710.344,20005.16,3705.184000000001
2011-08-09,31148.544,37190.52,-6041.975999999995
2011-08-10,23833.872,29587.42,-5753.547999999999
2011-08-11,65263.404,25688.61,39574.794
2011-08-12,21564.204,27302.75,-5738.5459999999985
2011-08-13,0.0,0.0,0.0
2011-08-14,6862.284,9224.4,-2362.116
2011-08-15,20692.764,20005.16,687.6039999999994
2011-08-16,19293.408,37190.52,-17897.111999999997
2011-08-17,58523.568,29587.42,28936.148
2011-08-18,64899.372,25688.61,39210.762
2011-08-19,20807.508,27302.75,-6495.241999999998
2011-08-20,0.0,0.0,0.0
2011-08-21,17480.208,9224.4,8255.807999999999
2011-08-22,35547.816,20005.16,15542.655999999999
2011-08-23,26878.932,37190.52,-10311.587999999996
2011-08-24,46340.412,29587.42,16752.992
2011-08-25,26994.348,25688.61,1305.7380000000012
2011-08-26,28933.968,27302.75,1631.2180000000008
2011-08-27,0.0,0.0,0.0
2011-08-28,12966.036,9224.4,3741.6360000000004
2011-08-29,0.0,20005.16,-20005.16
2011-08-30,10600.452,37190.52,-26590.068
2011-08-31,24649.008,29587.42,-4938.411999999997
2011-09-01,44844.18,25688.61,19155.57
2011-09-02,36356.46,27302.75,9053.71
2011-09-03,0.0,0.0,0.0
2011-09-04,20406.036,9224.4,11181.636
2011-09-05,42838.44,20005.16,22833.280000000002
2011-09-06,30594.984,37190.52,-6595.535999999996
2011-09-07,26360.904,29587.42,-3226.5159999999996
2011-09-08,27825.96,25688.61,2137.3499999999985
2011-09-09,30170.58,27302.75,2867.8300000000017
2011-09-10,0.0,0.0,0.0
2011-09-11,42614.00399999999,9224.4,33389.60399999999
2011-09-12,33587.28,20005.16,13582.119999999999
2011-09-13,57794.7,37190.52,20604.18
2011-09-14,26433.54,29587.42,-3153.8799999999974
2011-09-15,86392.404,25688.61,60703.793999999994
2011-09-16,27898.776,27302.75,596.0260000000017
2011-09-17,0.0,0.0,0.0
2011-09-18,18894.876,9224.4,9670.476
2011-09-19,55928.664,20005.16,35923.504
2011-09-20,124122.972,37190.52,86932.45199999999
2011-09-21,46203.672,29587.42,16616.252
2011-09-22,69443.232,25688.61,43754.622
2011-09-23,38137.32,27302.75,10834.57
